Contaminant Level (ppm),Population Density (people per km²),Access to Clean Water (% of Population),pH Level,Turbidity (NTU),Rainfall (mm per year),Healthcare Access Index (0-100),Region,Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Temperature (°C),GDP per Capita (USD),Country,Sanitation Coverage (% of Population),Bacteria Count (CFU/mL),"Diarrheal Cases per 100,000 people"
3.33,704,67.19,6.84,3.43,1081,61.18,South,8.27,45.21,38.76,94097,Ethiopia,97.47,2793,240
1.48,219,58.17,6.17,1.34,2847,82.09,Central,8.14,12.57,9.36,74944,Pakistan,21.27,723,146
0.97,163,96.84,7.05,0.62,442,71.67,South,3.14,46.56,7.03,52312,India,37.27,1441,452
0.13,168,89.46,6.99,1.91,859,70.46,North,7.81,3.27,4.58,73703,Nigeria,65.87,4820,131
4.23,191,70.96,8.47,4.17,1196,15.82,Central,6.15,39.68,39.61,51393,Bangladesh,90.35,86,219
1.88,193,30.45,7.08,1.74,1170,31.58,North,6.67,21.78,22.44,41171,Brazil,22.71,4149,337
0.22,577,60.25,6.76,0.17,1740,52.32,South,6.93,8.89,10.82,20617,Brazil,90.69,1751,103
5.2,648,79.02,6.91,1.37,850,11.25,East,8.12,3.97,12.7,31678,Brazil,60.58,3420,40
6.8,574,38.21,6.99,4.95,2350,47.85,West,8.82,19.48,38.01,70500,India,82.84,4837,55
0.86,209,58.46,8.05,3.38,2082,44.53,North,7.52,19.47,36.0,60618,Brazil,95.89,2483,310
4.61,966,43.42,6.2,4.5,1469,23.19,South,6.95,11.5,14.0,2345,USA,37.23,3212,249
7.44,555,53.67,6.79,3.87,2395,19.97,Central,5.62,10.78,2.54,78465,Bangladesh,67.03,3922,241
9.86,55,31.87,8.42,2.7,1018,24.74,North,3.97,19.98,33.34,24519,USA,90.69,2489,414
6.67,729,38.87,6.38,0.74,869,60.51,North,9.71,20.51,36.58,82950,Ethiopia,87.55,1486,126
2.45,349,61.83,7.86,1.74,1399,41.5,West,6.23,22.12,33.5,57229,Bangladesh,61.68,3527,149
7.17,851,92.87,6.89,2.92,968,41.4,South,6.96,43.44,36.52,81198,USA,95.96,72,330
5.98,571,64.34,7.45,4.35,618,18.17,East,8.26,30.56,23.04,56969,Bangladesh,76.68,724,431
2.12,718,61.72,6.25,1.34,2145,78.74,Central,3.48,1.02,33.59,90361,Ethiopia,61.93,3754,335
8.51,505,85.13,6.77,0.61,732,70.04,South,8.99,25.95,37.76,19762,Indonesia,24.63,2995,383
4.27,532,48.75,7.25,2.79,1107,42.91,Central,8.58,38.12,35.6,3904,India,58.98,4365,387
9.62,892,36.65,6.58,0.88,427,14.22,North,8.42,2.82,23.49,65085,India,53.75,218,148
7.23,240,44.67,7.35,3.05,1260,71.47,West,3.15,21.13,29.86,91049,Brazil,44.42,546,168
6.45,95,85.39,6.55,1.32,1826,89.88,West,6.69,22.56,28.85,50034,China,95.43,3729,44
7.28,852,77.39,7.63,1.15,1550,17.83,East,3.38,47.7,32.12,54662,Brazil,94.06,1968,472
4.78,155,36.41,8.26,2.0,377,60.27,West,6.86,23.78,9.15,48978,Mexico,46.98,4516,83
5.05,987,76.7,6.21,2.97,2213,42.43,North,8.03,37.5,0.09,42749,USA,54.86,1259,7
8.51,680,95.21,6.54,2.73,667,8.77,East,3.85,15.15,20.4,93464,Bangladesh,80.15,2933,106
6.81,989,33.15,8.11,1.22,821,72.58,South,7.86,38.97,30.62,5568,China,86.8,2509,372
8.97,327,73.15,7.58,4.46,2095,7.11,West,6.15,16.13,5.0,47236,Ethiopia,28.81,4008,264
8.91,544,56.54,6.2,0.55,2403,70.22,East,8.68,21.5,21.31,10729,Mexico,59.26,4072,145
9.76,369,65.07,7.22,0.2,2507,28.12,North,6.74,23.97,12.58,89514,Ethiopia,93.16,4680,30
7.0,190,66.97,6.52,3.01,2643,56.57,Central,5.35,46.32,33.53,77944,India,73.17,1562,243
5.02,583,83.97,6.5,0.62,1802,16.05,Central,5.32,2.67,4.01,43912,India,63.44,2085,34
1.66,83,68.99,8.35,2.52,2507,37.09,North,9.28,9.84,33.92,89584,Brazil,77.44,1789,246
7.05,538,71.52,7.9,4.76,470,10.41,North,6.17,35.29,24.43,91497,USA,72.91,3669,413
2.92,903,53.3,7.74,3.49,611,46.73,Central,5.84,28.88,36.78,44954,China,95.38,2481,17
2.83,818,38.82,6.6,3.09,592,21.33,East,3.28,12.58,37.43,69050,Pakistan,93.01,3430,466
2.38,264,77.79,6.3,2.87,2442,18.79,Central,5.55,14.46,32.36,37442,Mexico,51.82,204,424
8.75,374,30.03,8.18,0.9,2614,10.72,North,8.95,18.37,21.2,90920,Mexico,22.56,741,23
8.68,273,53.01,6.01,2.16,1093,76.54,West,8.33,22.52,5.7,58570,Brazil,46.61,2888,497
6.31,936,45.26,6.97,1.71,793,63.95,South,4.55,40.9,9.02,69140,India,36.23,3494,341
4.73,826,57.2,6.69,4.77,2809,15.69,West,5.89,0.69,16.71,19821,Brazil,30.52,4263,303
6.72,889,51.79,7.43,1.21,1301,47.24,West,4.38,44.9,29.16,14517,Bangladesh,91.04,4737,397
6.07,194,79.3,6.63,2.36,2784,66.09,North,9.68,20.65,21.79,43173,China,76.79,1105,402
4.16,441,48.21,6.78,4.69,2030,87.81,Central,7.19,11.52,17.53,78099,USA,22.61,1823,315
3.8,702,69.25,8.13,3.95,2819,5.96,East,8.28,25.42,19.1,83370,Indonesia,93.58,2647,348
3.83,967,61.9,7.51,4.82,507,36.24,West,8.0,32.98,29.66,51087,Nigeria,92.24,4197,277
5.89,497,86.07,6.36,3.04,781,61.6,Central,9.12,2.24,1.37,5065,Nigeria,95.95,88,29
6.48,739,59.97,7.82,1.67,2913,1.56,East,9.65,35.79,17.71,79261,Brazil,86.39,3381,142
4.52,115,90.47,6.52,4.13,759,24.35,West,3.23,38.04,22.91,24821,Bangladesh,26.31,4703,276
9.69,443,30.01,7.08,1.46,2813,74.49,East,9.83,8.31,23.55,60041,China,69.82,3511,409
0.84,576,72.34,7.62,0.82,2106,35.57,Central,9.09,8.39,24.75,51852,Pakistan,26.65,2206,355
3.47,146,30.69,6.68,3.53,1595,8.45,South,5.68,10.19,2.14,31123,Nigeria,77.07,3185,11
4.19,297,79.98,6.96,3.19,1337,62.66,Central,8.86,39.83,22.32,28127,China,35.76,4381,390
0.17,352,46.44,7.84,4.39,476,25.01,North,8.16,13.6,22.02,51322,USA,94.86,864,202
3.65,361,56.6,8.34,4.81,661,70.17,East,8.55,39.8,34.19,46129,Ethiopia,94.73,54,249
2.74,578,56.63,7.32,4.29,2869,90.02,South,4.54,27.03,30.4,93746,Bangladesh,67.57,4671,102
5.06,621,89.25,6.02,0.3,2238,52.79,East,7.54,38.36,1.25,85784,India,80.21,2080,467
3.36,14,37.15,6.85,3.32,2232,59.91,East,3.18,27.68,22.24,84535,China,88.65,557,34
7.26,896,76.68,7.0,3.92,2262,51.44,West,8.94,16.79,27.64,41684,USA,51.13,4826,323
5.1,633,98.69,6.85,4.91,241,81.74,North,9.66,45.54,23.21,1346,Pakistan,66.34,992,385
1.3,458,31.57,7.09,1.87,219,24.17,East,7.63,35.76,27.05,32892,Indonesia,34.08,4896,19
7.5,507,97.61,7.58,0.85,1239,40.15,Central,6.59,24.2,4.67,98386,India,98.84,4291,46
0.99,955,31.29,6.3,4.26,846,89.5,Central,8.08,31.87,6.77,65301,Indonesia,94.35,447,83
8.39,616,88.88,6.68,1.59,806,72.36,West,5.28,30.79,23.31,80618,Pakistan,58.67,1821,267
9.31,840,97.29,7.27,2.99,2340,32.01,North,7.38,17.91,32.03,55087,USA,64.27,3819,52
3.22,232,99.51,6.79,1.95,2328,83.26,North,8.03,21.19,1.04,54039,Nigeria,54.94,2972,272
9.26,707,62.14,8.48,2.01,2137,23.88,Central,4.0,15.91,17.45,24531,Indonesia,20.13,91,17
7.93,962,90.69,7.08,3.66,2086,63.42,South,3.98,49.98,39.68,92873,India,38.4,607,103
9.22,892,38.56,8.17,1.81,1721,95.65,West,8.01,29.0,30.63,7411,Brazil,28.13,1251,151
6.66,146,59.78,8.24,3.47,857,57.47,West,6.02,4.6,18.01,43043,Mexico,45.83,285,327
2.36,746,51.56,8.09,0.07,2742,79.95,Central,9.22,25.96,3.92,94584,China,38.9,2921,164
8.95,772,57.66,6.12,1.62,2273,73.54,Central,5.18,2.5,14.37,50868,Nigeria,80.93,3306,360
1.84,876,79.14,8.37,1.6,1932,86.57,South,3.3,14.43,6.18,87526,Indonesia,60.38,101,413
2.13,547,36.12,6.32,3.74,2903,96.88,South,7.55,22.3,36.83,92733,Ethiopia,85.36,3835,83
2.71,712,99.87,6.09,1.57,2182,2.23,North,7.79,26.71,27.43,24125,China,70.86,4235,307
3.04,203,74.45,7.04,3.17,655,2.79,West,6.88,48.81,34.23,78948,Brazil,72.5,4930,150
5.14,811,91.15,6.49,3.44,1300,59.44,West,7.78,49.11,35.9,75514,Pakistan,90.1,1678,36
7.13,346,88.08,6.46,3.29,513,95.42,Central,6.67,4.9,24.28,61001,Mexico,87.78,3823,378
9.26,15,83.62,6.72,3.02,551,48.57,North,7.85,26.91,0.26,33325,USA,25.06,534,457
0.88,839,32.75,6.62,2.07,2237,83.98,West,3.31,40.86,22.24,75912,Brazil,66.27,15,352
9.54,872,66.15,7.71,1.87,1122,76.79,North,5.58,11.89,32.1,61332,Brazil,53.05,560,151
9.21,741,52.97,6.47,2.82,1424,49.83,North,4.48,37.53,12.58,82207,Pakistan,67.97,2925,355
0.54,222,37.91,7.36,0.32,2550,51.32,Central,3.7,43.93,37.11,1804,Bangladesh,89.01,2383,375
3.6,596,54.01,8.47,4.38,526,43.6,North,4.64,33.12,39.87,51282,Pakistan,20.96,909,207
8.13,946,75.14,7.08,4.13,322,25.22,South,4.34,16.39,21.97,53732,Bangladesh,20.88,1413,49
6.12,831,46.14,7.6,1.73,2425,85.87,South,9.81,46.16,21.25,86723,Bangladesh,25.0,118,219
7.79,514,61.12,8.42,2.83,1525,20.96,East,5.01,44.18,26.21,6503,Nigeria,89.99,4062,459
7.19,685,58.31,6.34,4.66,1231,90.69,Central,4.62,35.79,22.65,17296,Nigeria,48.28,3113,403
4.97,240,33.67,7.05,1.36,201,35.97,East,8.84,18.18,6.42,51270,India,49.7,3060,46
0.41,761,73.97,8.13,3.71,1369,2.65,South,5.93,39.59,10.84,71172,Indonesia,47.63,1491,17
5.84,100,73.32,8.33,0.41,2795,16.84,East,5.95,15.81,8.07,3277,Indonesia,38.48,2096,484
0.49,861,97.65,7.5,2.62,1823,88.78,Central,6.11,12.65,2.89,66775,USA,23.11,2254,121
6.04,634,50.86,6.36,4.42,2878,12.84,Central,5.92,25.75,5.62,54551,Indonesia,92.52,513,281
8.0,349,59.33,8.25,2.76,2729,73.88,North,5.29,49.86,38.89,95126,Nigeria,38.63,1233,493
5.85,651,58.25,6.44,3.08,1265,18.28,West,5.0,40.22,22.2,27324,India,91.52,4132,119
9.97,622,94.38,6.88,4.54,1581,49.89,North,9.17,36.49,5.04,40853,India,96.46,1479,250
4.56,548,58.61,6.94,3.58,1874,20.52,Central,4.13,22.6,28.52,47021,Bangladesh,66.13,3349,326
7.49,539,60.99,7.12,3.48,2818,33.32,South,4.27,15.6,19.07,29158,Pakistan,49.78,1540,298
6.67,726,47.66,7.98,2.93,2939,12.48,South,7.0,42.8,8.99,71657,USA,81.26,129,46
9.91,219,30.08,8.01,3.16,1937,55.6,North,5.41,28.39,37.74,32325,Bangladesh,22.03,3716,84
7.13,389,37.73,7.8,4.02,2468,36.58,Central,5.95,40.66,8.98,24691,Pakistan,94.31,3743,298
1.64,20,79.27,6.06,4.9,2296,36.55,South,8.65,24.39,3.9,12867,Indonesia,52.63,1771,383
9.56,983,77.77,7.41,3.98,1151,3.86,Central,9.33,37.7,8.23,88752,Bangladesh,44.69,4454,159
6.68,949,52.58,7.87,3.54,559,13.61,South,8.53,43.39,36.48,2003,China,30.15,3075,6
0.59,525,63.11,7.11,0.68,951,70.75,Central,4.64,19.57,34.31,52879,Indonesia,96.41,505,244
6.58,624,50.82,8.36,4.09,839,29.23,East,9.86,0.68,35.77,1327,Pakistan,84.88,4913,214
8.83,726,81.16,8.06,3.68,2065,44.21,Central,5.54,12.75,36.65,20115,USA,77.92,4889,211
5.77,604,88.97,7.6,3.85,2340,76.31,Central,4.18,45.75,3.1,81125,Pakistan,94.48,838,211
3.54,564,92.94,6.16,1.16,2938,44.48,North,6.5,34.38,28.45,52525,Bangladesh,96.79,3871,287
8.21,773,42.17,7.63,4.52,1707,22.56,East,8.08,36.86,26.58,10309,Bangladesh,41.48,4718,217
7.83,560,78.65,8.28,0.49,2786,54.98,West,3.58,16.26,39.72,79391,Brazil,82.92,2676,483
5.44,836,97.41,6.95,1.27,2886,80.12,North,7.44,35.06,28.59,88272,USA,81.36,96,250
1.54,674,75.54,8.1,3.32,297,59.96,West,9.01,32.31,31.68,14447,Ethiopia,64.59,1963,343
2.51,856,54.57,6.78,3.37,1531,42.02,South,4.83,8.92,28.6,91121,Indonesia,32.03,2866,320
7.38,764,74.52,7.43,1.57,617,12.56,West,7.85,48.43,24.82,6132,India,95.23,4026,313
8.06,93,78.19,7.62,3.51,2151,24.87,Central,5.8,17.7,22.12,9386,USA,45.23,598,180
2.79,346,57.79,7.69,1.94,499,94.61,West,5.9,16.46,38.77,20900,India,66.31,2981,91
3.68,64,37.28,8.21,0.0,2123,77.18,North,4.97,18.46,37.45,30292,USA,21.55,3963,217
0.78,330,72.47,6.59,0.81,759,8.76,North,7.37,4.59,17.51,96086,USA,54.33,428,289
7.13,102,86.15,6.66,4.41,983,0.55,West,5.53,31.25,11.37,63914,Pakistan,69.35,3781,89
0.04,117,99.83,7.76,1.11,2357,17.54,North,8.82,11.93,20.36,22508,USA,50.48,1324,483
0.47,860,45.61,6.44,0.56,2066,94.39,North,9.74,40.17,29.84,82318,Brazil,58.17,2590,196
0.04,359,79.03,7.16,3.41,726,58.0,West,9.55,19.71,16.04,6023,Ethiopia,35.36,2414,183
6.45,418,31.96,6.05,2.2,2751,83.87,East,4.14,22.93,21.49,9938,Bangladesh,48.02,1767,65
4.17,741,97.89,6.35,3.98,1325,46.52,East,3.1,32.32,11.95,19491,Mexico,77.87,1516,415
2.98,558,30.88,7.7,4.31,2853,82.66,South,6.07,38.09,17.11,48659,India,97.58,1339,97
9.13,755,55.12,7.87,4.23,1407,3.39,North,8.1,11.56,38.29,33259,Bangladesh,57.5,4094,305
1.93,643,35.35,6.29,1.57,418,42.68,West,9.84,48.31,8.59,62428,Mexico,74.88,4659,477
3.89,596,73.47,6.57,2.53,2376,37.76,North,8.48,31.12,39.55,66323,Ethiopia,98.1,3403,23
9.4,217,53.76,6.25,3.25,1888,98.15,Central,7.06,0.28,8.62,16296,Ethiopia,81.98,2546,219
4.27,859,81.31,7.08,1.61,803,30.05,North,3.18,20.78,12.77,70568,India,20.81,976,173
5.55,498,64.05,6.32,0.21,754,41.69,North,8.78,21.84,3.49,43637,India,94.84,1614,386
0.8,831,59.36,7.09,2.48,681,75.88,East,4.24,40.46,30.08,33708,Ethiopia,89.33,1584,244
7.9,82,54.4,7.83,0.06,2495,88.07,West,3.39,15.26,0.71,22496,Mexico,41.69,4061,113
4.23,933,36.03,7.71,4.75,1143,87.84,North,8.95,16.56,31.51,5385,USA,34.52,4651,265
8.01,100,44.34,6.7,3.98,1291,39.45,East,6.96,3.52,23.09,87512,Indonesia,91.94,1270,389
2.54,887,74.74,7.68,0.96,1943,94.86,South,3.9,14.18,29.95,7364,China,75.1,218,353
4.22,829,64.77,8.32,1.44,1940,65.35,East,5.71,35.85,31.32,56659,Bangladesh,38.96,533,222
7.87,457,34.91,6.87,4.91,1880,85.11,East,3.6,31.74,4.98,15065,Pakistan,77.11,1495,307
9.74,815,68.08,6.82,1.87,291,92.63,East,7.47,4.07,0.86,93124,Bangladesh,68.02,1373,234
0.6,821,33.79,7.43,3.92,1873,23.36,North,4.98,5.73,6.75,66221,Pakistan,44.74,4139,305
8.12,864,65.82,6.61,2.23,1718,49.92,North,9.06,18.85,15.36,86677,Mexico,64.54,3823,109
3.01,244,97.55,7.63,4.32,2776,58.78,South,5.5,37.19,2.93,93882,Pakistan,62.18,3949,313
5.51,839,51.51,8.08,3.52,1615,80.24,Central,6.46,41.65,18.27,16848,India,60.78,64,435
2.9,735,80.65,7.15,0.11,713,40.12,Central,3.44,0.73,11.4,36811,Indonesia,61.39,4341,12
6.13,589,82.19,7.7,1.47,639,21.04,Central,4.93,16.45,14.55,38154,Indonesia,20.03,3142,124
3.54,233,58.34,7.63,2.79,1985,74.32,South,7.74,21.21,37.61,93674,India,41.49,1724,314
3.34,225,71.53,6.1,4.63,1032,59.23,Central,8.15,45.56,28.97,27654,Brazil,54.47,2205,166
0.38,175,63.04,6.46,0.51,638,89.83,Central,4.7,25.07,26.33,99948,Mexico,30.18,2985,52
1.47,443,49.84,8.23,3.01,2878,65.5,East,6.53,13.49,26.14,21048,Brazil,79.93,3913,185
9.17,70,82.83,8.35,1.51,1420,1.68,North,8.72,19.5,22.22,31512,Brazil,87.75,1048,275
9.98,805,79.2,7.95,4.45,1578,96.67,North,5.66,21.82,20.52,63690,Bangladesh,85.42,3654,446
7.81,79,93.04,8.3,3.83,1330,59.31,East,3.94,33.5,35.29,66670,Ethiopia,56.77,2872,351
2.87,874,73.27,6.77,1.85,828,59.59,East,6.02,2.05,3.0,8077,Bangladesh,75.26,4255,9
4.02,552,57.21,6.62,0.84,341,90.93,East,7.2,19.47,11.54,18187,Ethiopia,26.15,1004,409
7.4,194,79.98,6.96,0.06,2065,66.38,North,3.05,32.33,4.17,82952,China,35.95,2122,146
9.69,136,73.33,6.14,3.11,1757,47.93,Central,5.44,14.17,0.44,96340,Pakistan,23.76,4574,476
4.55,659,73.16,8.02,2.03,904,10.73,East,7.25,29.59,0.55,59725,Ethiopia,97.24,3981,316
8.3,149,89.49,8.46,1.57,1123,96.22,South,9.66,17.86,0.96,19581,India,65.95,4482,332
9.75,272,93.73,8.06,4.93,1565,7.85,East,5.86,37.94,27.27,31120,Bangladesh,34.02,471,117
8.73,609,42.62,7.39,2.33,2535,17.03,West,4.14,3.03,4.46,66988,Mexico,76.6,3405,417
2.27,165,51.98,6.74,3.75,2514,81.95,East,6.74,45.9,8.1,36073,Pakistan,59.13,308,339
0.08,340,75.52,6.49,0.89,2145,49.04,North,5.0,8.58,16.76,90006,China,54.74,2934,427
4.92,489,69.01,6.91,0.07,1755,17.83,East,4.5,7.93,10.77,47631,Ethiopia,93.08,4796,487
5.31,797,75.66,7.67,2.09,2075,28.62,West,7.13,42.03,32.67,95135,China,76.66,3047,17
2.01,641,60.31,7.12,3.33,2472,99.4,South,9.41,43.46,24.94,93434,Mexico,75.25,1921,376
2.85,997,58.87,8.34,2.53,1164,58.4,Central,8.85,4.65,13.33,26055,Brazil,27.78,2999,225
7.65,330,38.24,8.14,4.45,2416,40.16,East,4.28,45.44,12.71,4630,Indonesia,27.36,2017,111
4.7,932,73.66,6.26,2.17,522,87.62,West,8.36,13.66,27.35,65615,Mexico,73.15,4881,71
3.17,921,42.3,6.33,1.56,1923,47.97,West,4.61,30.93,6.83,24826,Nigeria,32.52,1478,143
6.23,173,76.97,7.69,4.58,2217,30.79,South,5.03,3.43,11.22,53193,Mexico,56.26,2352,103
6.53,335,97.7,6.58,2.03,294,16.42,North,9.44,19.03,14.14,44033,China,65.58,4197,214
7.69,147,47.95,7.98,1.35,561,74.45,East,9.38,22.54,18.19,3886,India,51.05,4870,479
1.57,752,39.95,7.48,0.49,1829,59.62,West,4.18,29.99,7.62,44337,Bangladesh,26.81,3459,76
7.42,821,31.69,6.57,3.97,1789,9.24,South,3.45,26.26,6.29,43197,India,79.47,3754,25
5.99,924,56.52,7.2,4.13,2004,59.16,Central,5.05,23.07,39.6,27499,China,90.8,1231,229
0.58,211,45.02,7.02,0.17,2024,15.95,West,7.07,47.98,36.53,16649,Bangladesh,32.93,3120,192
7.77,99,64.43,8.18,1.79,869,98.17,South,9.14,9.25,20.94,60547,Nigeria,88.33,571,449
3.83,754,66.7,6.08,3.75,2758,25.97,North,3.83,7.9,30.62,97622,Indonesia,83.1,3589,102
3.3,458,54.45,8.24,4.73,2514,69.6,North,5.9,35.67,26.96,79330,Pakistan,65.11,147,204
4.48,595,82.49,7.63,1.89,2012,65.6,West,4.9,3.73,3.0,11227,China,67.69,3443,410
3.46,455,93.34,7.84,4.36,999,69.14,West,3.1,24.14,20.72,72126,Ethiopia,72.13,596,259
3.38,810,44.81,6.01,1.97,332,43.0,East,8.52,24.2,7.36,71531,China,61.98,1070,232
8.08,995,88.54,7.57,0.9,2596,7.43,South,8.69,15.5,23.36,52052,China,87.55,3745,50
1.25,491,39.18,7.47,0.02,746,98.0,West,4.55,46.52,2.47,95061,Bangladesh,57.93,4250,467
9.71,686,46.01,7.34,1.65,962,19.15,East,4.06,14.13,6.52,12647,USA,63.76,4325,130
5.55,890,69.3,7.96,1.89,1782,76.97,East,4.01,14.42,31.27,69588,Mexico,22.94,3371,342
1.83,662,51.46,7.39,4.73,2515,13.76,West,6.25,11.71,33.73,17862,USA,34.41,157,65
1.31,367,32.92,8.14,1.03,2028,28.12,North,4.73,7.29,36.3,39815,Nigeria,92.3,922,399
5.92,871,50.64,6.58,1.91,1205,55.99,South,6.58,18.2,35.87,87933,Ethiopia,29.73,3318,201
6.33,609,93.34,8.01,0.13,1267,41.35,South,5.69,34.04,36.28,25478,Indonesia,92.32,2346,283
0.53,875,42.2,6.45,3.82,1501,95.83,North,4.48,37.11,3.79,11496,Brazil,70.87,4050,299
2.43,814,83.46,8.03,4.58,1362,84.77,West,8.26,40.67,26.38,18398,Nigeria,93.61,1246,145
7.95,28,80.56,8.35,1.19,2078,92.18,South,4.05,9.88,28.04,75775,Brazil,85.14,765,257
0.5,843,37.44,6.84,2.14,1534,64.07,West,8.59,1.78,10.73,17277,Brazil,89.22,3651,461
8.55,39,53.06,7.32,0.61,465,21.89,West,6.93,48.73,39.72,13797,Indonesia,61.95,2612,427
6.58,223,43.25,7.65,2.28,2417,51.85,East,8.82,0.72,11.43,67779,India,86.02,4562,403
4.34,425,31.62,6.2,0.67,1439,76.55,North,3.03,48.03,23.0,14036,USA,56.84,3828,311
3.46,938,42.11,7.24,2.62,316,6.47,West,8.24,41.44,34.89,71472,China,23.53,4581,375
0.19,773,44.11,6.9,3.67,2174,86.31,Central,3.36,45.6,11.57,31089,Pakistan,72.11,443,103
8.25,177,41.62,8.18,2.77,2681,63.14,North,9.65,19.36,24.26,921,Brazil,78.28,904,150
1.43,664,36.38,8.19,1.23,1639,72.36,South,7.92,9.86,28.8,55849,Ethiopia,28.12,2910,117
3.1,719,66.84,7.75,1.77,287,69.43,East,5.24,30.32,25.07,54944,Nigeria,85.27,3209,315
5.69,365,52.58,7.64,3.19,433,84.78,South,5.24,37.06,16.24,47850,India,26.01,1801,198
2.46,373,93.58,7.83,2.95,808,8.75,South,9.03,6.54,37.79,7308,Brazil,55.33,925,428
4.97,345,43.1,6.91,0.68,729,37.7,North,9.32,39.88,24.49,37981,India,59.03,3721,302
8.09,94,72.2,7.01,4.22,2076,50.26,South,9.24,10.43,8.97,37044,India,22.94,4387,333
4.71,875,93.04,7.38,2.38,1858,54.66,West,8.66,24.58,32.25,86810,Brazil,25.26,751,420
9.49,113,33.3,8.35,0.81,437,94.26,South,8.73,42.82,26.24,89148,Bangladesh,56.05,1234,391
8.48,127,66.14,7.81,0.61,2611,4.25,East,7.01,9.67,4.38,89630,Mexico,44.9,2922,497
3.33,47,61.55,7.38,4.83,608,86.64,East,3.2,12.09,11.13,90805,Ethiopia,85.27,662,388
4.0,492,95.01,7.93,1.41,1510,55.19,Central,3.61,3.14,6.33,78634,China,53.11,3195,278
4.23,490,76.46,6.93,4.54,1202,55.46,East,7.55,7.33,2.91,95327,China,28.44,1584,104
6.26,145,54.44,7.83,2.05,2203,32.03,South,5.81,7.33,9.21,29094,Ethiopia,32.63,919,9
2.87,85,79.81,7.03,1.93,417,64.36,East,6.97,10.17,11.13,15480,Bangladesh,73.88,4219,112
9.69,304,70.79,6.7,3.5,2650,64.64,North,4.62,14.31,18.66,49901,China,96.01,67,26
6.09,325,54.3,7.52,0.05,2592,18.93,East,7.55,40.75,38.77,93441,India,89.57,4570,98
3.99,506,84.97,7.72,1.69,2731,67.7,West,4.7,45.79,37.73,38319,Indonesia,30.36,4453,256
6.45,965,76.77,7.15,1.51,312,26.67,North,6.23,20.31,30.15,65626,Nigeria,21.31,1766,326
3.95,630,30.38,7.41,4.34,1241,68.88,Central,6.35,6.41,25.86,39379,USA,22.12,1953,494
8.18,577,90.56,7.74,2.65,2466,61.19,West,4.24,11.19,37.89,4891,China,64.39,2568,370
5.68,27,57.8,7.92,1.82,360,71.6,South,9.13,36.81,5.7,90849,Ethiopia,58.87,3708,135
0.42,900,75.18,8.24,1.33,1293,1.97,South,6.68,33.87,13.21,86140,Indonesia,21.07,4928,394
1.77,441,57.77,6.89,2.95,1230,12.54,South,9.07,48.36,22.13,20893,Brazil,24.57,2671,225
8.65,625,91.7,8.38,0.76,1224,84.02,West,4.84,0.72,32.56,70941,Mexico,99.98,3399,126
5.63,158,75.56,7.59,1.23,2346,38.07,West,4.21,37.54,24.95,52236,Ethiopia,97.2,1353,115
9.5,449,70.56,7.97,1.47,2846,83.67,West,3.13,25.29,32.35,51417,India,30.14,442,411
0.72,228,98.62,7.75,3.04,1815,6.27,North,3.66,45.13,6.12,66026,Mexico,33.13,600,289
2.95,917,49.64,6.51,1.87,514,76.94,North,4.03,28.81,7.71,64243,Nigeria,92.01,3166,170
1.94,15,34.57,6.18,2.53,1257,8.38,South,3.55,22.33,29.62,58986,Nigeria,60.6,3942,211
5.54,680,66.12,7.82,3.25,425,46.83,East,9.28,33.29,13.93,67150,Bangladesh,96.64,2809,411
3.83,619,59.68,7.28,4.78,678,93.76,South,9.38,41.68,17.44,92831,Pakistan,61.63,3388,432
1.57,848,61.8,7.76,3.82,2738,7.77,Central,9.56,14.12,31.67,13510,Bangladesh,66.18,4582,188
6.43,904,73.41,7.19,2.03,422,35.07,North,9.72,5.38,2.8,50791,Indonesia,37.61,2786,489
5.36,260,73.06,6.78,3.74,1915,51.83,West,6.44,21.65,6.72,8467,Mexico,90.09,2695,420
2.75,70,57.46,6.71,4.75,2130,89.95,North,6.71,10.73,11.83,88073,Pakistan,86.0,3648,386
4.8,488,90.4,7.83,2.5,719,33.26,West,3.92,21.48,35.34,43436,Brazil,46.99,2052,264
7.46,895,75.6,6.69,2.05,2490,80.7,Central,3.96,49.55,16.2,48192,India,68.99,631,499
2.05,77,92.29,7.79,0.39,287,71.82,Central,8.41,28.71,10.08,34413,Mexico,47.32,3442,213
2.93,450,93.92,6.96,4.46,1182,30.71,North,8.99,34.68,27.14,67663,Bangladesh,57.12,1754,88
3.46,262,41.71,7.93,1.23,679,34.08,West,8.49,33.9,1.21,10550,USA,88.28,3033,129
7.47,838,77.64,6.36,0.32,508,19.1,Central,8.84,41.04,31.0,75710,Pakistan,53.23,1578,22
8.47,893,52.23,6.51,2.69,2902,69.3,South,4.94,47.21,27.92,88181,Pakistan,87.25,25,178
3.76,633,88.55,7.71,4.23,739,56.31,South,6.26,32.94,2.2,59365,India,96.81,2209,400
2.97,538,81.3,7.4,2.03,1691,15.5,West,6.21,23.8,19.92,14764,China,53.31,2902,408
8.89,678,43.91,6.51,3.92,289,62.01,North,9.97,15.89,16.17,54507,Nigeria,90.2,1129,459
9.99,76,95.71,8.26,4.18,1209,49.86,Central,9.64,18.01,6.33,93804,Nigeria,44.32,4996,410
6.7,836,77.84,6.69,2.27,2560,9.26,North,7.19,16.72,6.16,87740,USA,20.23,4104,19
